dataset,seed,method,test_acc,val_acc,config_id,epoch,search_s,warmup_s_shared,all_operators_build_s_shared,trusted_count,rough_edges
citeseer,7,feature_all,0.709,0.7179999947547913,1,187,2.7041216250000275,0.6915517920000127,0.21059183299999518,217,143
citeseer,8,feature_all,0.697,0.7039999961853027,1,164,2.7109546669999816,0.7025891250000029,0.26069358300000545,238,208
citeseer,9,feature_all,0.706,0.7260000109672546,1,95,2.708915874000013,0.6902695830000027,0.16648316600000612,171,79
citeseer,0,feature_support,0.719,0.7200000286102295,1,187,2.729909792000015,0.6923277909999968,0.1970302499999974,189,99
citeseer,1,feature_support,0.716,0.722000002861023,1,175,2.7174469579999823,0.691502916999994,0.14205058299999962,145,41
citeseer,2,feature_support,0.708,0.7179999947547913,1,195,2.723059749000001,0.6879593339999985,0.1940874579999985,191,108
citeseer,3,feature_support,0.705,0.7160000205039978,1,116,2.769018167000013,0.6927733340000088,0.18686629100000118,188,91
citeseer,4,feature_support,0.707,0.699999988079071,1,163,2.746621500000032,0.6934400000000096,0.15770058299997913,138,34
citeseer,5,feature_support,0.706,0.7120000123977661,1,193,2.7082088319999684,0.685738458000003,0.1666559589999963,168,76
citeseer,6,feature_support,0.713,0.7179999947547913,1,120,2.8036319999999932,0.7199504170000068,0.14699874999999452,121,11
citeseer,7,feature_support,0.714,0.7200000286102295,1,116,2.700525706999997,0.6915517920000127,0.21059183299999518,217,143
citeseer,8,feature_support,0.695,0.699999988079071,1,139,2.718916582999981,0.7025891250000029,0.26069358300000545,238,208
citeseer,9,feature_support,0.701,0.7160000205039978,0,154,2.8730704159999902,0.6902695830000027,0.16648316600000612,171,79
citeseer,0,random_support,0.722,0.7179999947547913,1,196,2.7187595000000044,0.6923277909999968,0.1970302499999974,189,99
citeseer,1,random_support,0.715,0.7200000286102295,1,183,2.734268998999994,0.691502916999994,0.14205058299999962,145,41
citeseer,2,random_support,0.708,0.7200000286102295,1,160,2.735928709000021,0.6879593339999985,0.1940874579999985,191,108
citeseer,3,random_support,0.698,0.7160000205039978,0,180,2.7787705840000285,0.6927733340000088,0.18686629100000118,188,91
citeseer,4,random_support,0.703,0.7039999961853027,1,136,2.7367645000000493,0.6934400000000096,0.15770058299997913,138,34
citeseer,5,random_support,0.709,0.7080000042915344,1,107,2.9159327499999677,0.685738458000003,0.1666559589999963,168,76
citeseer,6,random_support,0.702,0.7200000286102295,0,147,2.7403182899999763,0.7199504170000068,0.14699874999999452,121,11
citeseer,7,random_support,0.708,0.722000002861023,1,139,2.8731364579999763,0.6915517920000127,0.21059183299999518,217,143
citeseer,8,random_support,0.696,0.7059999704360962,1,164,2.703368874999967,0.7025891250000029,0.26069358300000545,238,208
citeseer,9,random_support,0.712,0.722000002861023,1,104,2.7498832500000105,0.6902695830000027,0.16648316600000612,171,79
