scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
star_leaf,256,2,2,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.022375,0.062625,0.015292,0.100292,0.06025,0.167292,0.143292,0.370834,40442
star_leaf,256,2,3,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.020375,0.063667,0.016,0.100042,0.066291,0.160875,0.140459,0.367625,40442
star_leaf,256,2,4,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.0285,0.064167,0.017042,0.109709,0.0595,0.212542,0.14975,0.421792,40442
star_hub,256,2,0,16,0,2,257,256,256,0.0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.020083,0.068084,0.752291,0.840458,0.072042,0.196625,0.137042,0.405709,40442
star_hub,256,2,1,16,0,2,257,256,256,0.0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.021167,0.059125,0.660625,0.740917,0.068084,0.17475,0.134791,0.377625,40442
star_hub,256,2,2,16,0,2,257,256,256,0.0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.028375,0.081458,0.73525,0.845083,0.0655,0.207625,0.144417,0.417542,40442
star_hub,256,2,3,16,0,2,257,256,256,0.0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.020667,0.058291,0.757709,0.836667,0.080875,0.165375,0.136042,0.382292,40442
star_hub,256,2,4,16,0,2,257,256,256,0.0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.024083,0.070792,0.694583,0.789458,0.069791,0.177542,0.136167,0.3835,40442
ring_control,256,3,0,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.01975,0.059416,0.018542,0.097708,0.067584,0.164125,0.144208,0.375917,40452
ring_control,256,3,1,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023,0.06175,0.017583,0.102333,0.059792,0.175916,0.137875,0.373583,40452
ring_control,256,3,2,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021542,0.057875,0.017667,0.097084,0.068917,0.1695,0.146708,0.385125,40452
